pathLenghth,AStar,BFS
15.82,0.000518642,0.00067819
15.82,0.000493344,0.000595619
15.82,0.0004928,0.000596475
15.82,0.000508141,0.000591667
15.82,0.000491952,0.000594798
24.87,0.000577795,0.000874662
24.87,0.000428911,0.000831287
24.87,0.000237889,0.00034399
24.87,0.000236233,0.000341985
24.87,0.000273216,0.000339224
48.61,0.000395164,0.000821903
48.61,0.000483818,0.000860532
48.61,0.000494612,0.000941164
48.61,0.000528186,0.00106047
48.61,0.000491738,0.00114095
71.89,0.000916351,0.00171323
71.89,0.000882267,0.0016964
71.89,0.000626492,0.00125762
71.89,0.000663159,0.00145059
71.89,0.000614121,0.00130441
98.84,0.000844144,0.00126395
98.84,0.000813232,0.00127727
98.84,0.000887655,0.00128457
98.84,0.00101318,0.00132168
98.84,0.000846241,0.00128748
122.81,0.001293,0.00266195
122.81,0.000944555,0.0026525
122.81,0.000952557,0.0026205
122.81,0.000944419,0.00268475
122.81,0.000959664,0.0026296
150.63,0.00117378,0.00490891
150.63,0.00127166,0.00506906
150.63,0.00124232,0.00509236
150.63,0.0011907,0.00483059
150.63,0.00116361,0.00495737
177.09,0.0013452,0.00593675
177.09,0.00121884,0.00565653
177.09,0.00117514,0.00547283
177.09,0.00117984,0.00575788
177.09,0.0011722,0.00544029
pathLenghth,AStar,BFS
15.82,0.000500768,0.0006741
15.82,0.000503153,0.000599254
15.82,0.000486819,0.000598712
15.82,0.000486541,0.000596491
15.82,0.00048695,0.000596778
24.87,0.000567865,0.000851001
24.87,0.000565838,0.00083177
24.87,0.000420627,0.000904639
24.87,0.000306634,0.000459705
24.87,0.000340267,0.000492672
48.61,0.000347284,0.000958823
48.61,0.000388028,0.000808324
48.61,0.000343458,0.000791831
48.61,0.000343514,0.000788032
48.61,0.000351668,0.000791535
71.89,0.000565479,0.00117306
71.89,0.000565683,0.001126
71.89,0.000589706,0.00115009
71.89,0.00067029,0.00111278
71.89,0.000621975,0.00121518
98.84,0.000764551,0.00127549
98.84,0.000765031,0.00123385
98.84,0.000763429,0.00120017
98.84,0.000764837,0.00126483
98.84,0.00076541,0.00120656
122.81,0.000882426,0.00250583
122.81,0.000865115,0.00247882
122.81,0.000864611,0.00252216
122.81,0.000866539,0.00250138
122.81,0.000866335,0.00250045
150.63,0.00109706,0.00470191
150.63,0.00110565,0.00457685
150.63,0.00109145,0.00455308
150.63,0.00110339,0.0046338
150.63,0.00109264,0.00455109
177.09,0.0011796,0.00566597
177.09,0.00119142,0.00557123
177.09,0.00117871,0.00559346
177.09,0.00117806,0.00558889
177.09,0.0012065,0.00578245
pathLenghth,AStar,BFS
15.82,0.00049453,0.000642695
15.82,0.000487795,0.000588412
15.82,0.000501599,0.000588008
15.82,0.000486619,0.000590049
15.82,0.000486546,0.000589267
24.87,0.000578219,0.000831292
24.87,0.000565811,0.000829505
24.87,0.000567074,0.00082714
24.87,0.000321362,0.000853556
24.87,0.000234208,0.000343505
48.61,0.000399987,0.000913853
48.61,0.000452611,0.000959325
48.61,0.000322396,0.000812346
48.61,0.000320995,0.0007637
48.61,0.00032072,0.000760211
71.89,0.000565959,0.00113856
71.89,0.000565055,0.00112191
71.89,0.000565434,0.00113556
71.89,0.000564808,0.0011262
71.89,0.000620835,0.00146899
98.84,0.000762918,0.00123559
98.84,0.000772993,0.00120586
98.84,0.000763235,0.00118445
98.84,0.000763927,0.00119073
98.84,0.000763067,0.00120195
122.81,0.000865505,0.00252444
122.81,0.000867945,0.00252625
122.81,0.000865645,0.00250245
122.81,0.000864567,0.00251834
122.81,0.000868816,0.00251138
150.63,0.00111478,0.00463988
150.63,0.00109616,0.00459908
150.63,0.00109647,0.00468512
150.63,0.00109475,0.00458177
150.63,0.00109324,0.00459598
177.09,0.00124561,0.0056227
177.09,0.00118024,0.00563154
177.09,0.00117788,0.00556201
177.09,0.00117813,0.00559562
177.09,0.00121372,0.00586628
pathLenghth,AStar,BFS
15.82,0.000266439,0.000285141
15.82,0.000266008,0.000323947
15.82,0.000258687,0.000336967
15.82,0.000260766,0.000338229
15.82,0.000241239,0.000331445
24.87,0.000327232,0.000520531
24.87,0.000345178,0.000488942
24.87,0.000236569,0.000435404
24.87,0.000234411,0.000353495
